well,species,stage,treatment,conc,timepoint,optical_flow,worm_area
A01,Sma,Miracidia,DMSO,0.1p,30min,1438751676.966579,32116
A02,Sma,Miracidia,PZQ,10uM,30min,1548738380.4463875,58809
A03,Sma,Miracidia,PZQ,1uM,30min,1353870514.0580716,24187
A04,Sma,Miracidia,PZQ,0.1uM,30min,1382377907.1007507,22670
A05,Sma,Miracidia,PZQ,0.01uM,30min,1391847594.1969948,29756
A06,Sma,Miracidia,PZQ,0.001uM,30min,1378678848.2683978,59453
B01,Sma,Miracidia,DMSO,0.1p,30min,1552393592.4712691,35496
B02,Sma,Miracidia,PZQ,10uM,30min,1523513145.0799844,84263
B03,Sma,Miracidia,PZQ,1uM,30min,1438753512.6362798,33001
B04,Sma,Miracidia,PZQ,0.1uM,30min,1424765953.0886085,20336
B05,Sma,Miracidia,PZQ,0.01uM,30min,1445473746.9705114,24873
B06,Sma,Miracidia,PZQ,0.001uM,30min,1419069308.2942033,32261
