well,species,stage,treatment,conc,timepoint,worm_area,optical_flow
A01,Sma,Miracidia,DMSO,0.1p,30min,30298,55315983.07
A02,Sma,Miracidia,PZQ,10uM,30min,35852,34706563.1
A03,Sma,Miracidia,PZQ,1uM,30min,49214,50313798.1
A04,Sma,Miracidia,PZQ,0.1uM,30min,25046,26812713.34
A05,Sma,Miracidia,PZQ,0.01uM,30min,24789,43518159.93
A06,Sma,Miracidia,PZQ,0.001uM,30min,35596,40191233.1
B01,Sma,Miracidia,DMSO,0.1p,30min,36107,39329209.13
B02,Sma,Miracidia,PZQ,10uM,30min,37409,40946374.91
B03,Sma,Miracidia,PZQ,1uM,30min,55381,46150723.38
B04,Sma,Miracidia,PZQ,0.1uM,30min,24558,61859458.19
B05,Sma,Miracidia,PZQ,0.01uM,30min,36620,44414870.85
B06,Sma,Miracidia,PZQ,0.001uM,30min,22987,35249438.91
C01,Sma,Miracidia,DMSO,0.1p,30min,48205,40094611.49
C02,Sma,Miracidia,PZQ,10uM,30min,39790,37126548.65
C03,Sma,Miracidia,PZQ,1uM,30min,42608,44817904.13
C04,Sma,Miracidia,PZQ,0.1uM,30min,28905,59146050.56
C05,Sma,Miracidia,PZQ,0.01uM,30min,50610,51226560.54
C06,Sma,Miracidia,PZQ,0.001uM,30min,38974,43225632.38
